_id,job_name,category
7u6ny,A7-數據暨AI應用專案管理師,AI Engineer / Researcher
8uert,全端工程師,Fullstack Engineer
8t1cx,後端軟體設計工程師 (Backend Software Design Engineer),Backend Engineer
6nfj4,影音串流工程師 (Video Streaming Engineer),General Software Engineer
8jm2q,Software Development Engineer in Test(SDET),QA / Automation Engineer
8uxvj,全端工程師、軟體程式開發工程師,Fullstack Engineer
8n9di,富邦期貨-法人期權量化研究員,Others
8rmhd,資深後端工程師（Sr. Backend Engineer）,Backend Engineer
7wutg,I186 Python全端工程師(可遠端工作),Fullstack Engineer
8ta3u,DevOps工程師,DevOps / SRE / Cloud Engineer
8p6el,Software Engineer-Taipei-SGSC-11355,AI Engineer / Researcher
8v92t,【資訊人員】資訊專案管理師(數據管理)-依學經歷核敘,Others
8tm23,網路爬蟲工程師,General Software Engineer
8qpsc,軟體工程師【數據科學】,General Software Engineer
7hzhp,AD10601 服務系統後端工程師,Backend Engineer
7k1tw,後端工程師 Backend Engineer,Backend Engineer
8r19c,[DI] AI基礎架構工程師  AI Infrastructure Engineer,AI Engineer / Researcher
7ovi4,【新創AI獨角獸】Developer工程師,AI Engineer / Researcher
8fu73,【派駐聯發科/內湖】軟體開發助理工程師,General Software Engineer
87nyk,風險管理處-系統規劃人員,Others
6omzw,Deep Learning/Machine Learning AI Developer,AI Engineer / Researcher
8e0qu,(Sr.) Software Engineer [SLAM/Navigation Map],General Software Engineer
8uy0z,全端工程師、軟體程式開發工程師,Fullstack Engineer
8qb1r,自動化軟體開發工程師_14326,QA / Automation Engineer
8tn3e,軟體工程師,General Software Engineer
8ste0,交易助理,Others
8pxgc,SAP ERP 工程師 - 內湖_JR202505037,General Software Engineer
8m01b,後端工程師 Backend Developer,Backend Engineer
8fvcr,數據工程師,Data Engineer
8tq4p,AI 演算法主管／工程師｜影像・影音・Cloud（工業電腦）,AI Engineer / Researcher
8tdh6,【數發中心】資料科學分析師,Data Scientist / Analyst
7ez67,資料分析師,Data Scientist / Analyst
6f8mk,後端工程師,Backend Engineer
6x70p,Site Reliability Engineer (DevOps)  | 站點可靠性工程師,DevOps / SRE / Cloud Engineer
7ss79,Cybersecurity Support Engineer 網路安全支援工程師 - Taipei (Req: 20033),AI Engineer / Researcher
7yyvh,【SaaS】資深軟體測試工程師 / Sr. Software Test Engineer ( QA、Automation ),QA / Automation Engineer
8apl8,AI / 機器學習工程師  |  LLM / AI Agent 開發,AI Engineer / Researcher
6zwzf,Unity遊戲軟體工程師 Unity Game Developer (Mobile Game App),General Software Engineer
7h1g3,Deep Learning Engineer/Sr./Principal Engineer,AI Engineer / Researcher
8md2v,【美商電腦龍頭品牌-Procurement Operations Analyst】採購營運分析 | 品牌外商強力招募！| 南港展覽館站旁｜英文交流環境 | KA_828,Others
86poa,智慧建築及能管數據分析師,Data Scientist / Analyst
8ii1s,韌體工程師 (Linux),Embedded / Firmware Engineer
8s4rf,資深全端工程師_Senior Full Stack Engineer,Fullstack Engineer
8v3ae,研發部: (Senior)R&D Engineer_Batteries (資工/數學+AI/ML專長),AI Engineer / Researcher
8q8zl,軟體開發工程師,General Software Engineer
8suko,【VBA開發工程師】#薪資40000起 #具備保險應用程式開發經驗加分_BIS_205,General Software Engineer
8vodx,Software Reliability Engineer (SRE),DevOps / SRE / Cloud Engineer
7gu74,軟體研發工程師｜ R&D Software Engineer,General Software Engineer
7c3kc,資訊助理-學生實習可,Others
7dmt5,AI演算法工程師,AI Engineer / Researcher
8761y,後端工程師 (Backend Developer),Backend Engineer
8pq48,LLM研發工程師,AI Engineer / Researcher
