_id,salaryMin,salaryMax
7ovbz,40000,50000
5it12,42000,46000
8r790,60000,100000
5sqv2,45000,55000
8q0ku,32000,40000
8b478,32000,33000
8tuir,35000,50000
7gotd,92307,107692
8vs4j,36217,36217
7jdjj,42000,50000
5giyy,41000,57000
8lu58,46000,54000
8rwf0,36000,42000
8tykd,29500,30000
7iejk,35000,35000
71mzh,35000,40000
8ohsk,30000,45000
8clbg,65000,65000
8w5bx,30000,35000
8nhq6,53846,92307
3qpla,40000,50000
8v9xy,30000,40000
7e2hr,36000,60000
8w16p,60000,100000
7zbw5,47000,53000
8utu2,42000,55000
8krn5,35000,45000
8tcap,40000,52000
8e888,29000,36000
8sccw,32000,40000
7iio4,60000,75000
7ajxo,36000,46000
8nvye,38000,42000
88o7r,80000,150000
88s4q,37000,41000
8lc00,30000,35000
8sxgf,32000,50000
8t9qz,51000,51000
8s4d9,40000,52000
8tccn,40000,52000
8vow4,30000,60000
8w16t,60000,100000
8vyz6,45000,75000
8silv,35000,50000
8vpdz,36000,44500
8e0pr,30000,40000
8ncra,40000,45000
8ggzp,30000,32000
8oz88,35000,45000
8racg,40000,52000
8qgb1,32000,38000
7glmv,34000,45000
85gca,40000,80000
78tr4,40000,100000
8i88d,40000,60000
7zxx9,38000,55000
7btah,50000,100000
8w16g,40000,60000
8t8zz,50000,96000
8iixb,30000,42000
4iiml,57692,69230
7nj01,33000,40000
8uqzo,32000,45000
4msg8,35000,70000
8ld8f,36000,50000
8smf4,33000,40000
744sk,45000,50000
8ldpx,35000,50000
8ld3g,40000,65000
8v5is,40000,60000
68nuv,32000,42000
8bc1o,50000,80000
2manr,38000,50000
8v07d,32000,38000
8q3c6,38000,55000
8w5r1,42000,50000
7x6jl,38000,60000
8kis6,45000,80000
88onx,45000,75000
811jj,45000,65000
8bxj4,45000,65000
8i88c,50000,70000
8os0e,43000,51000
8tbon,32000,55000
748at,28590,29000
897bb,35000,50000
8toiv,35000,60000
8hsyh,45000,75000
7vfpj,38000,60000
8w3ag,45000,50000
7zpyq,35000,40000
806jr,29000,35000
8k0mh,35000,42000
770r1,36000,45000
2r8wj,48000,60000
7z31n,35000,45000
8su0n,28590,35000
8u4gs,40000,70000
8t8wo,50000,80000
7lrpr,36000,40000
7y69f,32000,45000
8sez9,30000,40000
7bcix,45000,70000
7du7a,50000,60000
7jrb1,32000,45000
8vjl0,35000,45000
8jej4,38000,42000
8w1wy,45000,65000
8m5j3,28590,40000
8kmf7,55000,80000
8bxiu,55000,70000
825g7,55000,70000
8tlyq,32000,33000
8vydi,31000,40000
6i3mm,32000,48000
8q0m8,30000,49998
8mnth,45000,80000
76ef7,35000,38000
7pvvh,30000,45000
8tk9q,50000,80000
8p8t3,36000,45000
8n79d,40000,60000
7x2wz,45000,50000
5c2o2,43000,50000
7tyiw,42000,60000
5kay9,32000,36000
81aqn,30000,30000
8naew,32000,36000
6qux6,35000,40000
8vlso,31000,34000
7u32j,41000,57000
7u7df,38000,60000
8w1w4,60000,100000
85vqi,50000,60000
5280p,43000,55000
7v39d,50000,65000
8506v,30000,40000
8rtch,35000,40000
8oh0v,45000,60000
8r3ai,40000,65000
70794,34615,61538
6nike,32000,40000
8run9,40000,45000
8tocg,30000,37000
6lmpb,30000,35000
87zlc,30000,35000
8utga,35000,42000
8cdf4,30000,35000
8vwr2,40000,50000
5xrp6,32000,45000
8w166,40000,60000
5kuu3,38100,52100
8g6ez,40000,55000
8ldpq,43000,60000
8tuc1,40000,50000
8a4k8,32000,38000
8vt6a,30000,35000
8cz8k,32000,40000
8v8a9,35000,40000
8uw1e,65000,80000
8v5rs,40000,55000
7ywv2,30000,60000
8db7x,37000,45000
8pt0h,35000,45000
6vqjn,40000,60000
8s7pt,45000,70000
8k8z6,50000,70000
8ot08,40000,43000
705va,35000,45000
76rk5,50000,100000
7oq3r,32000,50000
8ndlc,35000,42000
8p0z5,88000,130000
8v099,55000,65000
84wng,40000,45000
8cdzy,33800,36800
7nmj2,35000,55000
8bhkn,35000,60000
46rm7,35000,43000
6wam7,35000,37000
8q996,35000,45000
8ncnw,40000,60000
8k3k8,40000,45000
6u1n9,40000,100000
8rgih,35000,40000
8va5a,35000,55000
4wtoi,37000,40000
8s5xa,32000,38000
8jmfu,30000,50000
8mbev,40000,45000
8mjsq,70000,95000
8vy5r,43000,45000
6lrkp,33000,40000
8jux5,38000,80000
8ulyw,33000,42000
7e2y8,30000,36000
6j20v,40000,55000
7zy4u,35000,60000
77lst,29000,40000
8mjpv,30000,35000
8ud41,34000,42000
8vjhe,35000,38000
4wlpc,45000,68000
8vhbx,45000,55000
856z1,30000,50000
8rvrk,33600,50600
7014c,32000,40000
8st6j,55000,80000
2t1px,35000,40000
8kzt1,30000,36000
7he4g,38000,60000
84wmq,40000,70000
7rn8s,30000,38000
7smwf,35000,55000
7e5d8,30000,35000
7j1z4,50000,70000
8mu28,36000,55000
8qaaf,75000,90000
85hhs,32000,36000
7ymb9,60000,100000
8jnlr,45000,71000
8e541,30000,40000
829ki,50000,100000
82oy8,28590,42000
6not8,32000,36000
89cyx,32000,38000
8vykq,32000,33500
79t4u,38000,45000
4tayp,36000,45000
87px6,35000,50000
7x0sb,46153,57692
6s8fx,38461,53846
7wag7,30000,50000
5kl68,32000,55000
8v3pa,33000,38000
80okz,46000,68000
8h1un,45000,65000
8orzp,43000,51000
7n19u,42000,55000
8jn9t,60000,90000
8us9m,40000,100000
6t1x7,38400,50400
8r0q3,38000,48000
8vjoe,35000,45000
7p20v,40000,48000
8vesk,35000,38000
8qdlk,40000,45000
88avw,32800,34000
870or,69230,92307
8umvd,36000,45000
8ub0w,50000,55000
8vw1u,33000,38000
7wlsv,29000,45000
8vucj,32000,35000
7psjk,32000,36500
8ume9,35000,45000
8jsis,45000,55000
84zsg,60000,70000
8e6bb,38000,50000
8dfu7,33000,45000
7ym44,30000,35000
q0we,30000,40000
wsuw,35000,50000
8d898,40000,60000
8oyb6,36500,39000
8vsc4,38000,60000
8anog,38000,45000
82530,30000,40000
85ov1,30000,45000
7ok4s,60000,80000
8uro2,35000,50000
8vqmv,40000,56000
81p9j,30000,50000
8vxmu,38011,51747
8sa7g,31450,36000
8qzsf,32000,35000
823nn,35000,50000
6l2m9,35000,60000
4ppo8,28590,35000
8pgsl,40000,60000
5cdcp,38000,50000
7biki,32000,40000
8lbsk,50000,76923
8nalb,34000,40000
8sfm0,35000,50000
725gq,35000,60000
8w2bz,35000,40000
8c4ld,35000,50000
8ev6x,40000,45000
8gau9,35000,38000
8v0vy,34000,38000
6wgq5,32000,42000
856zz,50000,65000
80eq9,50000,50000
87cr5,40000,60000
8usiz,30000,35000
6u5ic,39000,50000
35546,32000,45000
8igey,33000,45000
7dnjs,32000,35000
8os03,43000,51000
77ug1,32000,40000
8dmqc,31000,34000
7jz3l,40000,48000
53doo,40000,50000
8utd5,70000,80000
651vb,55000,85000
8pfph,35000,43000
8a2j7,40000,70000
8svkb,32000,36000
6ynyc,37000,45000
8vh05,35000,38000
8vnwx,40000,60000
8ipzy,36000,40000
75vo6,32000,36000
8pchb,30000,35000
84irz,60000,80000
8vgpw,35000,40000
8vmt5,35000,38000
8tnlh,30000,30000
6wy3c,35000,40000
8fnb1,35000,60000
8oq7l,36000,50000
87civ,40000,60000
8qtyp,35000,45000
7sl4z,32000,45000
8b3gq,32000,45000
331d5,40000,60000
6wl35,33000,40000
8pv4z,33000,50000
8tyw1,35000,45000
8p5dm,32000,50000
8tupl,50000,65000
8evd5,45000,65000
8rmig,40000,50000
7eygb,50000,85000
85072,35000,45000
7s20a,37000,45000
79xh4,33000,38000
4j5wz,34550,38000
8gtb7,32000,36000
8vcpe,60000,80000
8hltf,30000,40000
7htkq,32000,38000
7l479,34615,50000
751v0,30000,40000
7o3uj,30500,35000
7x9f5,28590,35000
7hdhj,40000,46000
8k2a4,30000,40000
821qc,30000,50000
8csij,32000,40000
7ztye,33000,36000
7ox0x,36000,55000
8thih,36500,39000
8vnqg,38000,42000
6sv2r,32000,36000
8sm4m,33000,38000
7dgqg,32000,42000
vq4w,45000,65000
8k9m9,38000,49000
6mdf9,33000,80000
8uoh7,50000,80000
8u8y8,50000,80000
8viv6,45000,60000
8usod,32000,45000
8viat,37000,50000
