_id,description
7fcwk,C++
7fcwk,Java
8dmz2,Linux
8dmz2,Python
8dmz2,AWS
8sses,Kotlin
8sses,Android
8tihp,C++
8tihp,Git
8tihp,Python
8rjnp,JavaScript
8rjnp,ReactJS
8cw2e,Linux
8cw2e,C++
8cw2e,Socket
8qcdg,Linux
8qcdg,Java
8qcdg,Spring
8qcdg,J2EE
8qcdg,JavaScript
8qcdg,ReactJS
5v1d7,Android
5v1d7,C
5v1d7,C++
5v1d7,Java
8w5k0,Python
8w5k0,Java
8w5k0,Git
885yd,iOS
885yd,SWIFT
8jf53,OOP
8jf53,Git
8jf53,C#
8jf53,C++
8jf53,Visual Studio
8matm,Android
8matm,iOS
8matm,SWIFT
8matm,Kotlin
8matm,Flutter
8matm,JavaScript
8matm,ReactJS
8matm,CSS
8vka0,Go
8vka0,Cloud
8vwya,Java
8vwya,Node.js
8vxg8,Wordpress
8vxg8,SEO
8vxg8,PHP
8vxg8,HTML
8vxg8,CSS
